category,wayback_timestamp,original_url,wayback_download_url,suggested_filename,notes,local_path,status,bytes,sha256,error
site_asset,20240901010754,https://carletonlodge465.com/images/site/background_headerstrip.jpg,https://web.archive.org/web/20240901010754id_/https://carletonlodge465.com/images/site/background_headerstrip.jpg,background_headerstrip.jpg,Legacy site header background,recovered_images/site_asset/background_headerstrip.jpg,downloaded,45291,66ef47b4781c85ee46cee74d49abf6e2da5fee93563bd5075c7f787551ef1563,
site_asset,20240901003232,https://carletonlodge465.com/images/site/freedomisnotfree_mod.jpg,https://web.archive.org/web/20240901003232id_/https://carletonlodge465.com/images/site/freedomisnotfree_mod.jpg,freedomisnotfree_mod.jpg,Legacy remembrance image,recovered_images/site_asset/freedomisnotfree_mod.jpg,downloaded,195315,ff5d7d1f4d8727d6720691a5dc281c52b43a24ebf5c26dd87486b7887ac59597,
site_asset,20240901010657,https://carletonlodge465.com/images/site/headerstrip.jpg,https://web.archive.org/web/20240901010657id_/https://carletonlodge465.com/images/site/headerstrip.jpg,headerstrip.jpg,Legacy site header strip,recovered_images/site_asset/headerstrip.jpg,downloaded,66150,47b3fe566f8dc67942c6b793649d537562c93278c4879490313af750176e8e56,
site_asset,20240901171656,https://carletonlodge465.com/images/site/Lodge-Logo.jpg,https://web.archive.org/web/20240901171656id_/https://carletonlodge465.com/images/site/Lodge-Logo.jpg,Lodge-Logo.jpg,Legacy Lodge logo,recovered_images/site_asset/Lodge-Logo.jpg,downloaded,39802,4bba25299f1395d7f5882180a8924fe37804a7430c2555474187993fa72820d1,
site_asset,20241212011111,https://carletonlodge465.com/images/site/lodge-picture-3-sepia.jpg,https://web.archive.org/web/20241212011111id_/https://carletonlodge465.com/images/site/lodge-picture-3-sepia.jpg,lodge-picture-3-sepia.jpg,Legacy Lodge image; sepia treatment,recovered_images/site_asset/lodge-picture-3-sepia.jpg,downloaded,441428,03f3ab5f7d7766715b54b36908329059f5ebabf78b149fb908e6deddb0fd71a7,
site_asset,20110201132028,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/carleton-lodge-logo.png,https://web.archive.org/web/20110201132028id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/carleton-lodge-logo.png,carleton-lodge-logo.png,Older Drupal-era Lodge logo,recovered_images/site_asset/carleton-lodge-logo.png,downloaded,77972,1b6822d36ec39cc1f96bf70603b797190b4783c4910123a9da6e9fcf131de761,
building,20150825212557,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/CarletonDirections.jpg,https://web.archive.org/web/20150825212557id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/CarletonDirections.jpg,CarletonDirections.jpg,Legacy directions/map asset,recovered_images/building/CarletonDirections.jpg,downloaded,27617,3549f80065253d32a4c05fc863ce7f42f5b4c569709aeb518da960429be7ff19,
building,20150825212750,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/CarletonLodge465%20building.jpg,https://web.archive.org/web/20150825212750id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/CarletonLodge465%20building.jpg,CarletonLodge465-building.jpg,Authentic photograph of Carleton Lodge building,recovered_images/building/CarletonLodge465-building.jpg,downloaded,14336,59cb27698e4be664769d4eda2fa667568d3564af249a572c3b0d276c8c78e31a,
people,20141219225546,http://carletonlodge465.com/sites/carletonlodge465.com/files/images/2014_wm_photo_small.jpg,https://web.archive.org/web/20141219225546id_/http://carletonlodge465.com/sites/carletonlodge465.com/files/images/2014_wm_photo_small.jpg,2014_wm_photo_small.jpg,2014 Worshipful Master photograph,recovered_images/people/2014_wm_photo_small.jpg,downloaded,84261,30a41465520451c010d68c15a7fa6dabaabeb857ddb53083fb62f4954e3c07d4,
event,20140518211736,http://carletonlodge465.com/sites/carletonlodge465.com/files/images/arctic_char_signage_2014.preview.jpg,https://web.archive.org/web/20140518211736id_/http://carletonlodge465.com/sites/carletonlodge465.com/files/images/arctic_char_signage_2014.preview.jpg,arctic_char_signage_2014.preview.jpg,Arctic Char Dinner signage,recovered_images/event/arctic_char_signage_2014.preview.jpg,downloaded,65418,8ce5f1c55cefadcf0af5c09ae0badad0b6a8d60587a7a56f52b39c1a4986c73d,
event,20140518221723,http://carletonlodge465.com/sites/carletonlodge465.com/files/images/char-poster-2014.preview.jpg,https://web.archive.org/web/20140518221723id_/http://carletonlodge465.com/sites/carletonlodge465.com/files/images/char-poster-2014.preview.jpg,char-poster-2014.preview.jpg,Arctic Char Dinner poster,recovered_images/event/char-poster-2014.preview.jpg,downloaded,69544,4f42a9a8572b6801db38a6a4efd72db25f0790181d460b49d5170b1aef3732c1,
event,20150826072218,http://carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn0037.jpg,https://web.archive.org/web/20150826072218id_/http://carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn0037.jpg,dscn0037.jpg,Legacy Lodge/event photo; identify subject after review,recovered_images/event/dscn0037.jpg,downloaded,445855,b0b33e733bbaac422d1113d54a73da3fd2d17771de2ca29ee5755b0e63887eb0,
event,20150825230644,http://carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn0040.thumbnail.jpg,https://web.archive.org/web/20150825230644id_/http://carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn0040.thumbnail.jpg,dscn0040.thumbnail.jpg,Legacy Lodge/event photo thumbnail,recovered_images/event/dscn0040.thumbnail.jpg,downloaded,1897,0720c58d25612fba619a68b8c560bedffc6cbd08e0cc50757eb10bacd98d2bd6,
event,20150825230504,http://carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn0041.thumbnail.jpg,https://web.archive.org/web/20150825230504id_/http://carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn0041.thumbnail.jpg,dscn0041.thumbnail.jpg,Legacy Lodge/event photo thumbnail,recovered_images/event/dscn0041.thumbnail.jpg,downloaded,1680,89726b504dcdd6261c35766606cf8811c9c8316644e274e085b79dbe87374997,
event,20150826093548,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn1887.thumbnail.jpg,https://web.archive.org/web/20150826093548id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn1887.thumbnail.jpg,dscn1887.thumbnail.jpg,Legacy Lodge/event photo thumbnail,recovered_images/event/dscn1887.thumbnail.jpg,downloaded,1763,970e5b6eda1f77ee8d3bcf1903a80eb7bb0cd8b2918fe2f2fc0d934eedefbb4f,
event,20150826070931,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn1890.thumbnail.jpg,https://web.archive.org/web/20150826070931id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn1890.thumbnail.jpg,dscn1890.thumbnail.jpg,Legacy Lodge/event photo thumbnail,recovered_images/event/dscn1890.thumbnail.jpg,downloaded,1819,3e518383b3ba7533bc21a5a78a555dd3843aab47390d0cca4d5eeda8e82e0a52,
event,20150826070639,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn1891.thumbnail.jpg,https://web.archive.org/web/20150826070639id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn1891.thumbnail.jpg,dscn1891.thumbnail.jpg,Legacy Lodge/event photo thumbnail,recovered_images/event/dscn1891.thumbnail.jpg,downloaded,1809,d5c03863dea35d7738f51771f601d3eac33c3f5e0e4a9ba371558a6851fedeee,
event,20150826075732,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn1893.thumbnail.jpg,https://web.archive.org/web/20150826075732id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/dscn1893.thumbnail.jpg,dscn1893.thumbnail.jpg,Legacy Lodge/event photo thumbnail,recovered_images/event/dscn1893.thumbnail.jpg,downloaded,1980,965affda0eba73d1aaa489cd59c7d925df5c5b6291316df540367d6a9e826763,
