category,wayback_timestamp,original_url,wayback_download_url,suggested_filename,notes
event,20160527110707,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260010.thumbnail.jpg,https://web.archive.org/web/20160527110707id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260010.thumbnail.jpg,p6260010.thumbnail.jpg,Legacy event gallery
event,20160527110941,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260011.thumbnail.jpg,https://web.archive.org/web/20160527110941id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260011.thumbnail.jpg,p6260011.thumbnail.jpg,Legacy event gallery
event,20160527164817,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260012.thumbnail.jpg,https://web.archive.org/web/20160527164817id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260012.thumbnail.jpg,p6260012.thumbnail.jpg,Legacy event gallery
event,20160527105638,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260013.thumbnail.jpg,https://web.archive.org/web/20160527105638id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260013.thumbnail.jpg,p6260013.thumbnail.jpg,Legacy event gallery
event,20160527111532,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260014.thumbnail.jpg,https://web.archive.org/web/20160527111532id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260014.thumbnail.jpg,p6260014.thumbnail.jpg,Legacy event gallery
event,20160527112853,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260016.thumbnail.jpg,https://web.archive.org/web/20160527112853id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260016.thumbnail.jpg,p6260016.thumbnail.jpg,Legacy event gallery
event,20160527105147,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260018.thumbnail.jpg,https://web.archive.org/web/20160527105147id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260018.thumbnail.jpg,p6260018.thumbnail.jpg,Legacy event gallery
event,20160527123929,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260020.thumbnail.jpg,https://web.archive.org/web/20160527123929id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/p6260020.thumbnail.jpg,p6260020.thumbnail.jpg,Legacy event gallery
people,20150826034554,http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/rwbro_ray_grant.thumbnail.jpg,https://web.archive.org/web/20150826034554id_/http://www.carletonlodge465.com/sites/carletonlodge465.com/files/images/rwbro_ray_grant.thumbnail.jpg,rwbro_ray_grant.thumbnail.jpg,R.W. Bro. Ray Grant
event,20150826035034,http://carletonlodge465.com/sites/carletonlodge465.com/files/images/smilebox_2360079861.jpg,https://web.archive.org/web/20150826035034id_/http://carletonlodge465.com/sites/carletonlodge465.com/files/images/smilebox_2360079861.jpg,smilebox_2360079861.jpg,Legacy event composite/photo
